Rho110_calibration_10-15-21_1_T0s_1.ptu	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000274987900532377	0.683682830486072	0.0602322408552451	0.000274987900532377	1.18981702679115	0.0344177620614544	0.000274987900532377	0.722832444404322	0.147060042477278	0.000274987900532377	0.651839677040456	0.0470714029080791	0.000274987900532377	1.16019711197432	0.0244619904644492	0.000274987900532377	0.505535211492262	0.124093676283414	0.000274989000439982	0.609782721317842	0.0485625519146047	0.000274989000439982	1.08245314095105	0.0351107070833175	0.000274989000439982	0.682495703510669	0.140214543924396
0.000324985700629172	0.605214576124957	0.0238699378474889	0.000324985700629172	1.11290132245348	0.0299557279267367	0.000324985700629172	0.362664414610139	0.0772547846259114	0.000324985700629172	0.567618743186032	0.0369406933868244	0.000324985700629172	1.14379155186995	0.0429307151044603	0.000324985700629172	0.51607846543212	0.14729213041191	0.000324987000519979	0.572647042469069	0.0554219788159229	0.000324987000519979	1.10474392690858	0.0261326041188819	0.000324987000519979	0.587440392344416	0.15966286526734
0.000374983500725968	0.663492414831611	0.0366464042884347	0.000374983500725968	1.05126680348818	0.0230371009868343	0.000374983500725968	0.646609532454358	0.097746160730016	0.000374983500725968	0.614275337108551	0.0350710711245068	0.000374983500725968	1.13082599462464	0.0243671916027249	0.000374983500725968	0.690630042934031	0.161427175659627	0.000374985000599976	0.663634376743476	0.0392698302935037	0.000374985000599976	1.09947742272039	0.0267495344865581	0.000374985000599976	0.512181162126615	0.0908657747101484
0.000424981300822764	0.539624609350391	0.0400148905298364	0.000424981300822764	1.13116053231926	0.031551193790741	0.000424981300822764	0.546614196180997	0.121357628176941	0.000424981300822764	0.596293960479351	0.0428838071734826	0.000424981300822764	1.17741471528174	0.0292491492064463	0.000424981300822764	0.53726328015795	0.0965323919085672	0.000424983000679973	0.636821244695621	0.0348045875485026	0.000424983000679973	1.1226370477254	0.0288527642509369	0.000424983000679973	0.313485590548037	0.117897846175667
0.000474979100919559	0.571549520962722	0.0344726115217482	0.000474979100919559	1.09259754961197	0.0247741864342112	0.000474979100919559	0.58148427164152	0.115624718512852	0.000474979100919559	0.561212016677847	0.0340497612924545	0.000474979100919559	1.13597147386736	0.0287901011216946	0.000474979100919559	0.616236677577704	0.124989961953087	0.00047498100075997	0.630891510812874	0.0268122379717146	0.00047498100075997	1.07765149056894	0.0152408189355476	0.00047498100075997	0.524947765014478	0.084550764488864
0.000549975801064753	0.62076389640103	0.0278696740702859	0.000549975801064753	1.10439468979559	0.0177553947795515	0.000549975801064753	0.376632583973849	0.0768092112320797	0.000549975801064753	0.608121512336718	0.0248101229624625	0.000549975801064753	1.10532329187145	0.0244320898127567	0.000549975801064753	0.373798554550212	0.0747260664352269	0.000549978000879965	0.555137491205006	0.0235451365976893	0.000549978000879965	1.10354667200621	0.0193807689510663	0.000549978000879965	0.467892395913722	0.0899444378879878
0.000649971401258345	0.609703382290155	0.0262934509854602	0.000649971401258345	1.09724404723339	0.0225747510556976	0.000649971401258345	0.37453229871705	0.0579161249221139	0.000649971401258345	0.601398228688459	0.0240698991103334	0.000649971401258345	1.11891781826312	0.0183316865472448	0.000649971401258345	0.402129575266078	0.0966847298105012	0.000649974001039958	0.587942971724561	0.0289022123235118	0.000649974001039958	1.12497811340357	0.0143434474186769	0.000649974001039958	0.43328492267211	0.0631989813746467
0.000749967001451936	0.595971848501464	0.0281442274057301	0.000749967001451936	1.09706539757778	0.0209371597452739	0.000749967001451936	0.766603418924353	0.118716469685855	0.000749967001451936	0.614481200513586	0.0261491801572761	0.000749967001451936	1.09599742312	0.0215963020838275	0.000749967001451936	0.473292753936453	0.0697377713488448	0.000749970001199952	0.596362665616892	0.0245683688678423	0.000749970001199952	1.10429617517003	0.0244955421217768	0.000749970001199952	0.52696200944505	0.108046791226626
0.000849962601645528	0.563417555495234	0.0335655997351494	0.000849962601645528	1.10207917007575	0.0209431195065899	0.000849962601645528	0.411403969212992	0.0912995531247983	0.000849962601645528	0.596622536892074	0.0260582598613897	0.000849962601645528	1.09531776954671	0.0211144761881516	0.000849962601645528	0.511348591354828	0.0968844386923415	0.000849966001359945	0.605336795775039	0.0306532200596391	0.000849966001359945	1.1149718590539	0.0235241769237197	0.000849966001359945	0.62366737435455	0.0702375349585823
