A_and_C_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0035498438068725	0.367990499047578	0.00717772043410794	0.0035498438068725	0.507679099682587	0.00377383440858668	0.0035498438068725	0.292023432149485	0.0287722263301529	0.0035498438068725	0.381867539092249	0.00628893836470373	0.0035498438068725	0.517727434092869	0.00364890517453529	0.0035498438068725	0.326564013693094	0.0325046360541217	0.0035498438068725	0.404638489832952	0.00936892322876875	0.0035498438068725	0.516009030545963	0.00644316638185826	0.0035498438068725	0.347667765213528	0.0170195126245526
0.00414981740803405	0.348282049895326	0.00402392146126455	0.00414981740803405	0.505313578041331	0.00379163975124097	0.00414981740803405	0.301482985899165	0.0190205117947772	0.00414981740803405	0.383469034377519	0.00465838248461735	0.00414981740803405	0.509410860415804	0.00207482532299275	0.00414981740803405	0.310286338762833	0.017407187014029	0.00414981740803405	0.397480568063431	0.00529548218185451	0.00414981740803405	0.504377887395246	0.00295145017130388	0.00414981740803405	0.337501352089437	0.0172592462373806
0.00494978220958278	0.34474232253037	0.00636435772502285	0.00494978220958278	0.496365713046167	0.00345355827347729	0.00494978220958278	0.272192601663597	0.0187438441083087	0.00494978220958278	0.365212878725076	0.00680127469410518	0.00494978220958278	0.49766950331223	0.00275620731613271	0.00494978220958278	0.330306235410881	0.0154502987808946	0.00494978220958278	0.379521737178406	0.00464728634850785	0.00494978220958278	0.500580508548009	0.00291672646780507	0.00494978220958278	0.352690566555958	0.0210496334495158
0.00574974701113151	0.351002016107964	0.00577966718217506	0.00574974701113151	0.484287507333001	0.00246780309319746	0.00574974701113151	0.282028700018161	0.0134274981810302	0.00574974701113151	0.365885139406716	0.00542704587530987	0.00574974701113151	0.490483275714721	0.00276906901591547	0.00574974701113151	0.311409457143084	0.0175193525550947	0.00574974701113151	0.377755592918241	0.00383544284525132	0.00574974701113151	0.491840158502857	0.00306355338628486	0.00574974701113151	0.315818866100959	0.0205772150081014
0.00654971181268024	0.343012882791239	0.0038754248318603	0.00654971181268024	0.481274041193954	0.00290110377034072	0.00654971181268024	0.25894689863303	0.0197854283355384	0.00654971181268024	0.360698024163357	0.00544911505298307	0.00654971181268024	0.480172153776853	0.00266348067328944	0.00654971181268024	0.31429046868214	0.0149073810521343	0.00654971181268024	0.374292288955777	0.00527346004149569	0.00654971181268024	0.480518655743479	0.0035906182234051	0.00654971181268024	0.351704685434367	0.018548903348068
0.00734967661422897	0.332621062680259	0.00444401454048539	0.00734967661422897	0.467240691822332	0.0027130650964056	0.00734967661422897	0.266482777860369	0.0171979217826666	0.00734967661422897	0.356566414831004	0.00476088208353929	0.00734967661422897	0.474917727770907	0.00318479888496871	0.00734967661422897	0.302039346093357	0.0176357011397016	0.00734967661422897	0.367944317906997	0.004427991715364	0.00734967661422897	0.477954411441994	0.00300950986561704	0.00734967661422897	0.340178320815918	0.0180974379514229
0.00854962381655207	0.328666292396153	0.00349102645942124	0.00854962381655207	0.460321123968995	0.00268461851385988	0.00854962381655207	0.251982543974083	0.0111241783770374	0.00854962381655207	0.353037900597954	0.00278365949257026	0.00854962381655207	0.462348006155481	0.00220475463518028	0.00854962381655207	0.298149843760208	0.00966899889513804	0.00854962381655207	0.354850910357599	0.00348319400238073	0.00854962381655207	0.46615591751695	0.00201008916190576	0.00854962381655207	0.321710014336563	0.0169548682515354
0.0101495534196495	0.320942702394258	0.00302194574587996	0.0101495534196495	0.445526578435918	0.00160900008050148	0.0101495534196495	0.265968897127252	0.0116430984359715	0.0101495534196495	0.339273833134275	0.00391491573418198	0.0101495534196495	0.448792124390365	0.00192645691891008	0.0101495534196495	0.289115431962095	0.0118913444535414	0.0101495534196495	0.345114245965634	0.00334385220434709	0.0101495534196495	0.449315403619609	0.00189511574840674	0.0101495534196495	0.319487325288543	0.0141263736934569
0.011749483022747	0.311093111319594	0.00315932514772918	0.011749483022747	0.435682195232799	0.00168306932857563	0.011749483022747	0.264723790375562	0.0131840123772437	0.011749483022747	0.329051863929401	0.00299120367491205	0.011749483022747	0.439459486075749	0.00163601169781566	0.011749483022747	0.286412967057839	0.0120241786122292	0.011749483022747	0.338617221692943	0.00288629780826973	0.011749483022747	0.438388701501105	0.00150863777518569	0.011749483022747	0.30751889472633	0.0128026421012373
0.0133494126258445	0.30000385659624	0.0034977896268464	0.0133494126258445	0.423971474728803	0.00233666512024001	0.0133494126258445	0.232251352297875	0.0131921847157211	0.0133494126258445	0.319749319683468	0.00394086542309136	0.0133494126258445	0.424821557212588	0.0017363225492613	0.0133494126258445	0.28931362571196	0.0153647401879662	0.0133494126258445	0.324068205903664	0.00200684403673981	0.0133494126258445	0.431034247923488	0.00220591557577755	0.0133494126258445	0.283687444528179	0.0115282572353245
