A_and_B_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000949958201839119	0.339842454120542	0.0155327366518996	0.000949958201839119	0.688782865553805	0.0076775436402968	0.000949958201839119	0.317476443334745	0.0387489535359177	0.000949958201839119	0.418965206235005	0.0189863640948787	0.000949958201839119	0.699508615091602	0.0108244487914444	0.000949958201839119	0.363695486537417	0.0464099338317655	0.000949958201839119	0.448876731521175	0.015028387722502	0.000949958201839119	0.704455416426087	0.0109467984249287	0.000949958201839119	0.415865040715893	0.0603805942828652
0.00104995380203271	0.354680275989877	0.0132929042320068	0.00104995380203271	0.696432652245101	0.0157639706857259	0.00104995380203271	0.242437872085559	0.0366179745086557	0.00104995380203271	0.421146555377856	0.0184023856534405	0.00104995380203271	0.697729921893818	0.0119551104288873	0.00104995380203271	0.318675494804183	0.0476051795518526	0.00104995380203271	0.458567179628565	0.013103604942308	0.00104995380203271	0.710699364173244	0.0122032941423371	0.00104995380203271	0.267544598356165	0.0437592734113262
0.0011499494022263	0.358810621126784	0.0136722120440003	0.0011499494022263	0.680101727425316	0.00953232893277895	0.0011499494022263	0.266261476547176	0.0473891633485348	0.0011499494022263	0.428140142441073	0.0145863235836439	0.0011499494022263	0.69429961774438	0.0147490852874328	0.0011499494022263	0.338709813696349	0.0517817002238753	0.0011499494022263	0.442071063876749	0.0156164692383783	0.0011499494022263	0.686166301694274	0.00972360900875998	0.0011499494022263	0.333606759773639	0.0666026088690635
0.00124994500241989	0.322446803534238	0.0117939666646497	0.00124994500241989	0.675894172192671	0.0104016950533877	0.00124994500241989	0.338506691429196	0.0486280081993218	0.00124994500241989	0.406212083422218	0.0132687697728967	0.00124994500241989	0.696870482813718	0.00966338604567504	0.00124994500241989	0.332901702329127	0.0305133338054801	0.00124994500241989	0.421047105979997	0.0260196700934963	0.00124994500241989	0.691694054725911	0.00548337460384134	0.00124994500241989	0.332402275240806	0.0534117980022222
0.00134994060261349	0.33789481597264	0.00911819756846712	0.00134994060261349	0.666521623847856	0.00820540586380328	0.00134994060261349	0.208880311775308	0.0314852791312495	0.00134994060261349	0.414185425578455	0.0135068615545635	0.00134994060261349	0.691088890053673	0.00965712193815184	0.00134994060261349	0.345120660877285	0.0515410106272464	0.00134994060261349	0.4556608659965	0.0173819027131216	0.00134994060261349	0.711039518746599	0.00954286612580197	0.00134994060261349	0.401882515418579	0.0544928308758462
0.00144993620280708	0.323953312628826	0.0155953928236796	0.00144993620280708	0.656527955890387	0.00826135130097181	0.00144993620280708	0.177545158201648	0.0277149267185201	0.00144993620280708	0.401409673779753	0.0138117854965538	0.00144993620280708	0.681993320151041	0.00761953373827266	0.00144993620280708	0.32598910239211	0.0520606066918567	0.00144993620280708	0.44464804550446	0.0178736988819374	0.00144993620280708	0.687447016116336	0.0111474396144304	0.00144993620280708	0.239352092450307	0.0375729087141919
0.00159992960309746	0.337458067254854	0.0100779757961486	0.00159992960309746	0.652118738155367	0.01003106210541	0.00159992960309746	0.222910217748174	0.0302166834833568	0.00159992960309746	0.437125360944885	0.0160414291800507	0.00159992960309746	0.67095629986848	0.00649489605256597	0.00159992960309746	0.361054024409144	0.0347103216056371	0.00159992960309746	0.416690580977975	0.00771371018898937	0.00159992960309746	0.690944056311099	0.00822829428283486	0.00159992960309746	0.274313578413837	0.0274905874535799
0.00179992080348465	0.318129446398494	0.0123457067122877	0.00179992080348465	0.668860299617085	0.00744133762694397	0.00179992080348465	0.190012312207163	0.0334721520523041	0.00179992080348465	0.409138943625928	0.0100700757857696	0.00179992080348465	0.683781342823844	0.00781733217993718	0.00179992080348465	0.342101194789699	0.0341660811823775	0.00179992080348465	0.430797154502673	0.012141614053107	0.00179992080348465	0.680561764010812	0.00740368528502507	0.00179992080348465	0.261057278664425	0.0265436437698148
0.00199991200387183	0.338647528358493	0.00632352834579251	0.00199991200387183	0.650781877925059	0.00597155697230856	0.00199991200387183	0.226113051940671	0.0239171793586865	0.00199991200387183	0.393103847036332	0.00762863735792827	0.00199991200387183	0.670498542318632	0.00523414106941701	0.00199991200387183	0.216727344407575	0.0276973376642926	0.00199991200387183	0.451675595784228	0.0109411919200083	0.00199991200387183	0.680185021872355	0.0111162751029335	0.00199991200387183	0.308078341053664	0.0364368403830093
0.00219990320425901	0.333040582764225	0.00777401911315583	0.00219990320425901	0.652686424316146	0.00870042514571592	0.00219990320425901	0.215181070425391	0.0314012732412594	0.00219990320425901	0.398190311886508	0.012812173445008	0.00219990320425901	0.65959614756359	0.00783742248281646	0.00219990320425901	0.264150626599821	0.0300135082186348	0.00219990320425901	0.447816793911232	0.0123091515827369	0.00219990320425901	0.677628754271297	0.0061219928656188	0.00219990320425901	0.357779264072345	0.0349076295019871
