Fluorescin_Na_1_T0s_1.ptu	 	 	Fluorescin_Na_1_T0s_1.ptu (A)	 	 	Fluorescin_Na_1_T0s_1.ptu (B)	 	 	Fluorescin_Na_2_T302s_1.ptu	 	 	Fluorescin_Na_2_T302s_1.ptu (A)	 	 	Fluorescin_Na_2_T302s_1.ptu (B)	 	 	Fluorescin_Na_3_T604s_1.ptu	 	 	Fluorescin_Na_3_T604s_1.ptu (A)	 	 	Fluorescin_Na_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000274989000439982	0.766344209474102	0.0380319232269941	0.000274989000439982	0.793656579034498	0.0158631271343484	0.000274989000439982	0.489984364696339	0.14645273942759	0.000274987900532377	0.610357247447059	0.032884884115615	0.000274987900532377	0.758055827273276	0.0126628284408874	0.000274987900532377	0.524778985774328	0.146341742969285	0.000274987900532377	0.506618389768002	0.0375859090903337	0.000274987900532377	0.766773473331974	0.0160708689518652	0.000274987900532377	0.599275022871994	0.139484739388493
0.000324987000519979	0.683198469944107	0.0378020396289556	0.000324987000519979	0.775166817821248	0.0171013914718106	0.000324987000519979	0.742512791276495	0.115902231909354	0.000324985700629172	0.617181696593557	0.029014208542505	0.000324985700629172	0.764220060998047	0.0116201473497879	0.000324985700629172	0.462176033909316	0.13315876019474	0.000324985700629172	0.563699613646903	0.0194465947266594	0.000324985700629172	0.752099985195447	0.0141246666818318	0.000324985700629172	0.593194177818393	0.146518185251874
0.000374985000599976	0.650496978965793	0.0372548679627417	0.000374985000599976	0.752746994563639	0.0193481904521598	0.000374985000599976	0.302132422747929	0.136360009353101	0.000374983500725968	0.56304746445912	0.0272593011001553	0.000374983500725968	0.753469099200912	0.00992588814087802	0.000374983500725968	0.403008054057679	0.110832262418355	0.000374983500725968	0.595037666930096	0.0300873284292217	0.000374983500725968	0.736685510052688	0.0174786365258062	0.000374983500725968	0.43876743373004	0.11916410595624
0.000424983000679973	0.718331016176697	0.0310683546591198	0.000424983000679973	0.75246558710545	0.0173749963188359	0.000424983000679973	0.965588473536599	0.162850715677167	0.000424981300822764	0.600054709321841	0.0284152517212816	0.000424981300822764	0.750336699704397	0.0111774474124471	0.000424981300822764	0.21700436138634	0.0944432625641982	0.000424981300822764	0.475800991445556	0.0192414494320481	0.000424981300822764	0.729778062791699	0.0172440962181142	0.000424981300822764	0.333241535422692	0.130208848021347
0.00047498100075997	0.694848704771864	0.0273859157563663	0.00047498100075997	0.745970112858648	0.0172878850699851	0.00047498100075997	0.791122797398775	0.180831630934242	0.000474979100919559	0.605814515431239	0.0319569532943018	0.000474979100919559	0.759351329462629	0.0118407376019678	0.000474979100919559	0.476083953444121	0.112784791938129	0.000474979100919559	0.561840048533458	0.0219670609473786	0.000474979100919559	0.735397902798266	0.0162898796134646	0.000474979100919559	0.358700137465953	0.106784191824286
0.000549978000879965	0.666254969074678	0.0261101591830503	0.000549978000879965	0.779985205651339	0.00902978339747944	0.000549978000879965	0.60155635362855	0.109740977504961	0.000549975801064753	0.598303573506672	0.0277766559768146	0.000549975801064753	0.733874749003415	0.0120500980539096	0.000549975801064753	0.425947548875408	0.140163043301716	0.000549975801064753	0.547848806445305	0.0176668110941943	0.000549975801064753	0.719598549241245	0.0102952381498804	0.000549975801064753	0.378569029047969	0.0590434569155326
0.000649974001039958	0.661391406966772	0.0313184814102935	0.000649974001039958	0.758678267757783	0.0140048515432022	0.000649974001039958	0.536919218526273	0.0966148243268767	0.000649971401258345	0.57695787354371	0.0180703153988439	0.000649971401258345	0.733303015560026	0.011065206075081	0.000649971401258345	0.494737575530755	0.0604388861423432	0.000649971401258345	0.507285109189683	0.0206188822974723	0.000649971401258345	0.719658268470579	0.00955437496480261	0.000649971401258345	0.356144001264817	0.0742888081669098
0.000749970001199952	0.710420510134556	0.0195127417671414	0.000749970001199952	0.748086529431482	0.0107431005048053	0.000749970001199952	0.590288869824398	0.123698861061125	0.000749967001451936	0.587696428946435	0.0224363177858995	0.000749967001451936	0.728558390263635	0.00941649897361157	0.000749967001451936	0.406120732725631	0.0760613551480511	0.000749967001451936	0.529175420884915	0.0167175142073393	0.000749967001451936	0.707753811389955	0.0115029466326225	0.000749967001451936	0.353492882177568	0.0792902676336379
0.000849966001359945	0.707172673337257	0.0184959015365193	0.000849966001359945	0.759609567572702	0.0137726311677129	0.000849966001359945	0.748822357605723	0.131301264665565	0.000849962601645528	0.575788431274033	0.0222000008879285	0.000849962601645528	0.717857297912584	0.012292425708638	0.000849962601645528	0.430282831088326	0.0877727803472366	0.000849962601645528	0.522848558702336	0.0236148340436707	0.000849962601645528	0.724990249530858	0.0141366761347282	0.000849962601645528	0.426766975793851	0.0776606625734112
0.000949962001519939	0.673604037471963	0.023073601468277	0.000949962001519939	0.743411549258553	0.0109472306194369	0.000949962001519939	0.698126470828115	0.100879416212364	0.000949958201839119	0.585503792696511	0.0224450308389824	0.000949958201839119	0.708126739571957	0.0099183624840715	0.000949958201839119	0.758304232849016	0.0688465173716043	0.000949958201839119	0.484585634833415	0.0187613349618962	0.000949958201839119	0.67811107972071	0.00890167933547578	0.000949958201839119	0.523688388309424	0.0873587137845278
