4k_dextran_5min_1_T0s_1.ptu	 	 	4k_dextran_5min_1_T0s_1.ptu (A)	 	 	4k_dextran_5min_1_T0s_1.ptu (B)	 	 	4k_dextran_5min_2_T302s_1.ptu	 	 	4k_dextran_5min_2_T302s_1.ptu (A)	 	 	4k_dextran_5min_2_T302s_1.ptu (B)	 	 	4k_dextran_5min_3_T604s_1.ptu	 	 	4k_dextran_5min_3_T604s_1.ptu (A)	 	 	4k_dextran_5min_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000274987900532377	0.363154547051941	0.0106274731812869	0.000274987900532377	0.431752133473069	0.00756547609047299	0.000274987900532377	0.420160787971223	0.107804119874283	0.000274987900532377	0.316630907267352	0.0174959323231402	0.000274987900532377	0.45625460066864	0.00554538814919102	0.000274987900532377	0.23560531951218	0.0547105668268818	0.000274987900532377	0.302749303478181	0.00846412756697138	0.000274987900532377	0.440670077810551	0.00661066810324231	0.000274987900532377	0.318743026348354	0.0616527112895529
0.000324985700629172	0.342639922200866	0.0159681624508347	0.000324985700629172	0.414645629527791	0.00914179946305722	0.000324985700629172	0.43626026684976	0.0752288081727242	0.000324985700629172	0.280740242041289	0.0220726828905239	0.000324985700629172	0.418603847121652	0.00621309861353804	0.000324985700629172	0.226117287753475	0.0498309357042923	0.000324985700629172	0.301989904842374	0.014949624856245	0.000324985700629172	0.414106330064617	0.00800562408903422	0.000324985700629172	0.19070981160892	0.0600466388964386
0.000374983500725968	0.366732379762851	0.0170106044075757	0.000374983500725968	0.440712443657459	0.00620760344704885	0.000374983500725968	0.289361077320774	0.0782041052687952	0.000374983500725968	0.302446877168145	0.0160993750528178	0.000374983500725968	0.43137720120917	0.00989201046630514	0.000374983500725968	0.20698426749971	0.0490036505569754	0.000374983500725968	0.299240977566749	0.0145009858327893	0.000374983500725968	0.421963661123376	0.00755557815338722	0.000374983500725968	0.20785156316122	0.0528280184707026
0.000424981300822764	0.344203325471093	0.0194007619443414	0.000424981300822764	0.423689392760674	0.00824596458779374	0.000424981300822764	0.281855696626541	0.0797401854468141	0.000424981300822764	0.32492772842478	0.0155459387078167	0.000424981300822764	0.426572804646027	0.00860580250932051	0.000424981300822764	0.31188484673272	0.0423031231817974	0.000424981300822764	0.279866623869139	0.0122819168938556	0.000424981300822764	0.422606734731085	0.00926350801196724	0.000424981300822764	0.328043230254227	0.0437485654358127
0.000474979100919559	0.380912614391279	0.0168796927902459	0.000474979100919559	0.434181047658953	0.0109782127132311	0.000474979100919559	0.407334096530668	0.070328520187728	0.000474979100919559	0.331912015281109	0.0157700401096625	0.000474979100919559	0.41448104210903	0.00846326135445284	0.000474979100919559	0.218850802994886	0.0393776959026622	0.000474979100919559	0.304286252492352	0.0183723463880022	0.000474979100919559	0.426033093841414	0.0086303642177088	0.000474979100919559	0.193896686703916	0.042855523521687
0.000549975801064753	0.368369781541275	0.0099432092781576	0.000549975801064753	0.436847944233659	0.00539212723137106	0.000549975801064753	0.315988304530336	0.0460340925819332	0.000549975801064753	0.321787301188577	0.00715744723686103	0.000549975801064753	0.442219178944642	0.00667677604438671	0.000549975801064753	0.289899396686744	0.0395744713599046	0.000549975801064753	0.297201992550269	0.0108385318137395	0.000549975801064753	0.414979152880552	0.00631131377756773	0.000549975801064753	0.250936066204656	0.035639638044221
0.000649971401258345	0.351315448954333	0.0106736706177344	0.000649971401258345	0.431843791009085	0.00769945178364417	0.000649971401258345	0.370417215017306	0.0344876224574453	0.000649971401258345	0.310234953526394	0.00639900848596434	0.000649971401258345	0.423015497593994	0.00666746920809961	0.000649971401258345	0.397539000098097	0.0491835073443947	0.000649971401258345	0.29619267721276	0.00874706561369549	0.000649971401258345	0.412668805580366	0.00714320218355933	0.000649971401258345	0.212398845522974	0.0334495617406857
0.000749967001451936	0.345327992103462	0.0115548484817604	0.000749967001451936	0.425459091405938	0.00685379165025126	0.000749967001451936	0.361745253746079	0.0527016759464335	0.000749967001451936	0.306242945678891	0.0116992553222001	0.000749967001451936	0.4122985579233	0.00568259667834152	0.000749967001451936	0.269481563278126	0.0367030331854208	0.000749967001451936	0.276644299059914	0.0141437219311741	0.000749967001451936	0.416666172135525	0.00569297133629401	0.000749967001451936	0.260521502133386	0.042735738466943
0.000849962601645528	0.376144755268077	0.0118287722777453	0.000849962601645528	0.424409664003131	0.0051985030312103	0.000849962601645528	0.28819203423056	0.0436101211062915	0.000849962601645528	0.313678715781859	0.0105749763747041	0.000849962601645528	0.408326754204187	0.00613023464156899	0.000849962601645528	0.24753928589821	0.0378035811350394	0.000849962601645528	0.306317041283458	0.00739844173730751	0.000849962601645528	0.403043602064648	0.00571433429450633	0.000849962601645528	0.296116245169103	0.0446590736642171
