40k_dextran_1_T0s_1.ptu	 	 	40k_dextran_1_T0s_1.ptu (A)	 	 	40k_dextran_1_T0s_1.ptu (B)	 	 	40k_dextran_2_T302s_1.ptu	 	 	40k_dextran_2_T302s_1.ptu (A)	 	 	40k_dextran_2_T302s_1.ptu (B)	 	 	40k_dextran_3_T604s_1.ptu	 	 	40k_dextran_3_T604s_1.ptu (A)	 	 	40k_dextran_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000274987900532377	1.35558399034164	0.0895103335440273	0.000274987900532377	1.82732252247003	0.0391898185912163	0.000274987900532377	0.760675528671331	0.139615427357	0.000274987900532377	1.17853878263419	0.0266973977546585	0.000274987900532377	1.83810140679998	0.034067481502157	0.000274987900532377	0.570532587633896	0.135680667156252	0.000274987900532377	0.958160934878609	0.0425078026905842	0.000274987900532377	1.71430339931751	0.0415932526597668	0.000274987900532377	0.947131652384309	0.120226309902008
0.000324985700629172	1.27263299587605	0.0445834676632626	0.000324985700629172	1.73360979604842	0.0368136882837307	0.000324985700629172	1.0740850627805	0.209017220886464	0.000324985700629172	1.09703059170976	0.0432584654719979	0.000324985700629172	1.75456009176273	0.0334044959810495	0.000324985700629172	1.01060210893185	0.156897476137289	0.000324985700629172	0.92383003174654	0.0494541319496982	0.000324985700629172	1.63836756641049	0.0333040729914541	0.000324985700629172	0.836383370692675	0.132090536758148
0.000374983500725968	1.16964620480409	0.0600867170270364	0.000374983500725968	1.78911699775732	0.0429964046086709	0.000374983500725968	0.908943333122711	0.187565719994949	0.000374983500725968	1.03699145206429	0.060176483141016	0.000374983500725968	1.70380257530571	0.0285703753695781	0.000374983500725968	1.0009629605017	0.167801891326943	0.000374983500725968	0.925620806539406	0.0538816377076303	0.000374983500725968	1.63462337735026	0.0442192883668249	0.000374983500725968	0.913587426622217	0.11505997418227
0.000424981300822764	1.34048268474501	0.0615921090820962	0.000424981300822764	1.767596393881	0.0487050275140101	0.000424981300822764	1.12027610540945	0.19450420491748	0.000424981300822764	1.1116492259604	0.0399475149571628	0.000424981300822764	1.78967711084058	0.0446282891989584	0.000424981300822764	0.746353759997757	0.200366857855463	0.000424981300822764	0.974951170355279	0.0464664127736486	0.000424981300822764	1.68960025198924	0.04347866732413	0.000424981300822764	0.92185279543816	0.154675305412484
0.000474979100919559	1.24789052009291	0.0637850338248381	0.000474979100919559	1.70632484745981	0.0312408662401544	0.000474979100919559	1.04894169977202	0.198369629560711	0.000474979100919559	0.979271274541798	0.0584358626491203	0.000474979100919559	1.76282507052487	0.0411162069425898	0.000474979100919559	0.962961034544092	0.177458053176277	0.000474979100919559	1.07925775999508	0.0484153921364582	0.000474979100919559	1.6231659416228	0.0340714504511337	0.000474979100919559	0.891036843109558	0.167280378183965
0.000549975801064753	1.27226947764793	0.0356623848277112	0.000549975801064753	1.80527164576569	0.0287593908461278	0.000549975801064753	1.21572585583295	0.121058084052129	0.000549975801064753	1.03913384523688	0.0452350995633934	0.000549975801064753	1.70145304518535	0.0234812036492833	0.000549975801064753	1.00676974855594	0.120742961124113	0.000549975801064753	0.905623220610808	0.0232273692908709	0.000549975801064753	1.70169383628548	0.0337027728269034	0.000549975801064753	0.6589963109135	0.0817638648329107
0.000649971401258345	1.27934925892381	0.0441642642062221	0.000649971401258345	1.78664695209475	0.0270891911414267	0.000649971401258345	1.27997736244479	0.177411194353107	0.000649971401258345	1.02515381543116	0.0366515019106394	0.000649971401258345	1.69763783176062	0.0283349839895176	0.000649971401258345	0.740200477473889	0.121215313610942	0.000649971401258345	0.92312696068499	0.0343567262103661	0.000649971401258345	1.6602156302175	0.0237341303700826	0.000649971401258345	0.717650100553072	0.131176816382749
0.000749967001451936	1.16676704352384	0.0281280098424927	0.000749967001451936	1.74745062297618	0.0271821125958167	0.000749967001451936	1.05044114474023	0.11384578880591	0.000749967001451936	1.03586309957351	0.04682537181168	0.000749967001451936	1.69720783767407	0.0239888176108559	0.000749967001451936	0.711391258305077	0.124216959475443	0.000749967001451936	0.964943946532874	0.0232312341924327	0.000749967001451936	1.63878555190453	0.0297192839609121	0.000749967001451936	0.571930581343597	0.0547707634098579
0.000849962601645528	1.17121710823681	0.0389906162438415	0.000849962601645528	1.7062844391324	0.0253891474452869	0.000849962601645528	0.922584287222408	0.138452665521677	0.000849962601645528	1.06853215550585	0.0456577873339196	0.000849962601645528	1.62637352096574	0.0316107135141059	0.000849962601645528	0.894688780324605	0.0944646710764898	0.000849962601645528	0.889798552698986	0.025941320616895	0.000849962601645528	1.57961152910181	0.0201495720035304	0.000849962601645528	0.436664439595316	0.0964532674355129
0.000949958201839119	1.18756001131423	0.0255320118886049	0.000949958201839119	1.69733916984092	0.0372102731995003	0.000949958201839119	1.07247133606728	0.150089557546541	0.000949958201839119	1.05471588771483	0.0398435228142305	0.000949958201839119	1.71922809541021	0.02143319381981	0.000949958201839119	0.800971872147127	0.163263177216453	0.000949958201839119	0.946229732450574	0.0322331360906721	0.000949958201839119	1.59921975921765	0.0349424573961709	0.000949958201839119	0.759781235619417	0.116819252525741
0.00104995380203271	1.2334375205661	0.0342141564270705	0.00104995380203271	1.72339708408776	0.0295019413584051	0.00104995380203271	0.763513758815376	0.134757855300924	0.00104995380203271	0.991485637710912	0.0367398563733968	0.00104995380203271	1.66238027455121	0.0263556261490915	0.00104995380203271	0.759975519528586	0.104907255102539	0.00104995380203271	0.989369856226949	0.0341850437031247	0.00104995380203271	1.63147702998135	0.0228642010624598	0.00104995380203271	0.606435059494469	0.0998601835393782
0.0011499494022263	1.14410901260089	0.0327642288575985	0.0011499494022263	1.64006290904928	0.0213749579530672	0.0011499494022263	0.744952064650388	0.135348835023886	0.0011499494022263	1.07249024912519	0.0551005325215781	0.0011499494022263	1.67717158396815	0.0232703861260168	0.0011499494022263	0.657350902331593	0.0947636561264955	0.0011499494022263	0.876478634206801	0.0282024161050536	0.0011499494022263	1.59066569912997	0.0212157293301245	0.0011499494022263	0.797784611737822	0.135574541476874
0.00124994500241989	1.22784719104851	0.0266454524126877	0.00124994500241989	1.68117619007678	0.0306510628921306	0.00124994500241989	1.03995854843626	0.135310412216867	0.00124994500241989	0.988271688131387	0.0410309349609849	0.00124994500241989	1.61260796946665	0.0248813857521355	0.00124994500241989	0.79693311524802	0.108243106185522	0.00124994500241989	0.90659679745783	0.0356348203404088	0.00124994500241989	1.55991364481569	0.0206258546131104	0.00124994500241989	0.855672611959301	0.0911433751051572
